row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
802,237.18606567382812,3.0674116666666666,DETECTED,237.186 m/z @3.1 [26C sample 1],237.18606567382812,3.0674116666666666,
803,237.1970672607422,39.70507833333333,DETECTED,237.197 m/z @39.7 [26C sample 1],237.1970672607422,39.70507833333333,
804,237.6200408935547,12.973581666666666,DETECTED,237.620 m/z @13.0 [26C sample 1],237.6200408935547,12.973581666666666,
805,238.0203399658203,13.095411666666667,DETECTED,238.020 m/z @13.1 [26C sample 1],238.0203399658203,13.095411666666667,
806,238.0718994140625,5.108081666666666,DETECTED,238.072 m/z @5.1 [26C sample 1],238.0718994140625,5.108081666666666,
807,238.0929718017578,9.693246666666665,DETECTED,238.093 m/z @9.7 [26C sample 1],238.0929718017578,9.693246666666665,
808,238.1195831298828,9.88775,DETECTED,238.120 m/z @9.9 [26C sample 1],238.1195831298828,9.88775,
809,238.18106079101562,39.732913333333336,DETECTED,238.181 m/z @39.7 [26C sample 1],238.18106079101562,39.732913333333336,
810,238.20016479492188,39.732913333333336,DETECTED,238.200 m/z @39.7 [26C sample 1],238.20016479492188,39.732913333333336,
811,238.73817443847656,6.781085000000001,DETECTED,238.738 m/z @6.8 [26C sample 1],238.73817443847656,6.781085000000001,
812,238.87652587890625,30.91058,DETECTED,238.877 m/z @30.9 [26C sample 1],238.87652587890625,30.91058,
813,238.8920135498047,30.709083333333332,DETECTED,238.892 m/z @30.7 [26C sample 1],238.8920135498047,30.709083333333332,
814,238.9137420654297,6.734911666666667,DETECTED,238.914 m/z @6.7 [26C sample 1],238.9137420654297,6.734911666666667,
815,238.98391723632812,6.8490899999999995,DETECTED,238.984 m/z @6.8 [26C sample 1],238.98391723632812,6.8490899999999995,
816,239.04356384277344,12.516913333333333,DETECTED,239.044 m/z @12.5 [26C sample 1],239.04356384277344,12.516913333333333,
817,239.0835723876953,6.734911666666667,DETECTED,239.084 m/z @6.7 [26C sample 1],239.0835723876953,6.734911666666667,
818,239.09608459472656,6.781085000000001,DETECTED,239.096 m/z @6.8 [26C sample 1],239.09608459472656,6.781085000000001,
819,239.10691833496094,6.734911666666667,DETECTED,239.107 m/z @6.7 [26C sample 1],239.10691833496094,6.734911666666667,
820,239.11773681640625,6.734911666666667,DETECTED,239.118 m/z @6.7 [26C sample 1],239.11773681640625,6.734911666666667,
821,239.12925720214844,2.681913333333333,DETECTED,239.129 m/z @2.7 [26C sample 1],239.12925720214844,2.681913333333333,
822,239.13975524902344,36.55257833333333,DETECTED,239.140 m/z @36.6 [26C sample 1],239.13975524902344,36.55257833333333,
823,239.14993286132812,3.716246666666667,DETECTED,239.150 m/z @3.7 [26C sample 1],239.14993286132812,3.716246666666667,
824,239.17137145996094,6.734911666666667,DETECTED,239.171 m/z @6.7 [26C sample 1],239.17137145996094,6.734911666666667,
825,239.18434143066406,39.67874666666667,DETECTED,239.184 m/z @39.7 [26C sample 1],239.18434143066406,39.67874666666667,
826,239.23025512695312,6.75858,DETECTED,239.230 m/z @6.8 [26C sample 1],239.23025512695312,6.75858,
827,239.30026245117188,6.8490899999999995,DETECTED,239.300 m/z @6.8 [26C sample 1],239.30026245117188,6.8490899999999995,
828,239.428955078125,6.665916666666667,DETECTED,239.429 m/z @6.7 [26C sample 1],239.428955078125,6.665916666666667,
829,239.47662353515625,6.8490899999999995,DETECTED,239.477 m/z @6.8 [26C sample 1],239.47662353515625,6.8490899999999995,
830,240.08741760253906,8.800246666666665,DETECTED,240.087 m/z @8.8 [26C sample 1],240.08741760253906,8.800246666666665,
831,240.1098175048828,6.734911666666667,DETECTED,240.110 m/z @6.7 [26C sample 1],240.1098175048828,6.734911666666667,
832,240.15322875976562,3.694411666666667,DETECTED,240.153 m/z @3.7 [26C sample 1],240.15322875976562,3.694411666666667,
833,240.23316955566406,3.539086666666667,DETECTED,240.233 m/z @3.5 [26C sample 1],240.23316955566406,3.539086666666667,
